video,frame,time,latitude,longitude,confidence
Val_video.mp4,40,2025-08-07T12:33:02.333133+00:00,12.87401433,77.55388256,0.7890493273735046
Val_video.mp4,41,2025-08-07T12:33:02.366461+00:00,12.87401433,77.55388256,0.786186158657074
Val_video.mp4,42,2025-08-07T12:33:02.399789+00:00,12.87401433,77.55388256,0.7788637280464172
Val_video.mp4,43,2025-08-07T12:33:02.433118+00:00,12.87401433,77.55388256,0.7926767468452454
Val_video.mp4,44,2025-08-07T12:33:02.466446+00:00,12.87401433,77.55388256,0.7618914842605591
Val_video.mp4,45,2025-08-07T12:33:02.499774+00:00,12.87401433,77.55388256,0.6864418983459473
Val_video.mp4,46,2025-08-07T12:33:02.533103+00:00,12.87401515,77.55388374,0.7455621361732483
Val_video.mp4,47,2025-08-07T12:33:02.566431+00:00,12.87401515,77.55388374,0.7313651442527771
Val_video.mp4,48,2025-08-07T12:33:02.599759+00:00,12.87401515,77.55388374,0.6450344920158386
Val_video.mp4,190,2025-08-07T12:33:07.332381+00:00,12.87401504,77.55388248,0.6128290891647339
Val_video.mp4,197,2025-08-07T12:33:07.565679+00:00,12.87401149,77.5538806,0.6586791276931763
Val_video.mp4,298,2025-08-07T12:33:10.931839+00:00,12.87400654,77.55388663,0.6366572976112366
Val_video.mp4,299,2025-08-07T12:33:10.965168+00:00,12.87400654,77.55388663,0.6129438281059265
Val_video.mp4,303,2025-08-07T12:33:11.098481+00:00,12.87400654,77.55388663,0.6423742175102234
Val_video.mp4,304,2025-08-07T12:33:11.131809+00:00,12.87400654,77.55388663,0.6410081386566162
Val_video.mp4,305,2025-08-07T12:33:11.165137+00:00,12.87400654,77.55388663,0.7234678268432617
Val_video.mp4,306,2025-08-07T12:33:11.198466+00:00,12.87400654,77.55388663,0.7559097409248352
Val_video.mp4,307,2025-08-07T12:33:11.231794+00:00,12.87400654,77.55388663,0.6942875981330872
Val_video.mp4,308,2025-08-07T12:33:11.265122+00:00,12.87400654,77.55388663,0.8118080496788025
Val_video.mp4,309,2025-08-07T12:33:11.298451+00:00,12.87400654,77.55388663,0.7976802587509155
Val_video.mp4,310,2025-08-07T12:33:11.331779+00:00,12.87400654,77.55388663,0.8225014209747314
